abs_shift_x_mm,abs_shift_y_mm,z_mm
-0.011961458860535547,0.015951044245908055,3692.2974324774923
-0.012379544566875976,0.016508576874509122,3691.0303434478155
-0.012798459881566835,0.017067215816283086,3689.7632544181392
-0.013245152772409655,0.017662897174990477,3688.4961653884625
-0.013691845663252473,0.018258578533697868,3687.229076358786
-0.014139422556297935,0.018855438741775747,3685.9619873291094
-0.01461558218722845,0.019490415079498804,3684.694898299433
-0.015091741818159123,0.020125391417222072,3683.4278092697564
-0.015568841309071546,0.020761621092713643,3682.1607202400796
-0.01607531900392931,0.021437027681026732,3680.8936312104033
-0.016581796698787243,0.02211243426934005,3679.626542180727
-0.017089271551349774,0.022789170604037286,3678.3594531510503
-0.01762691042447629,0.023506131766847925,3677.0923641213735
-0.01816454929760263,0.024223092929658328,3675.825275091697
-0.018703244042206017,0.024941462135822372,3674.5581860620205
-0.01927287902069231,0.025701091279039183,3673.2910970323437
-0.019842513999178604,0.026460720422255994,3672.024008002667
-0.020413264955157964,0.027221837762404045,3670.7569189729907
-0.021015722801093064,0.028025237403605918,3669.4898299433144
-0.021618180647028164,0.028828637044807794,3668.2227409136376
-0.0222218159450007,0.029633606861501266,3666.955651883961
-0.02285791527771923,0.03048186865960534,3665.6885628542846
-0.023494014610437968,0.0313301304577097,3664.421473824608
-0.024131354214638752,0.032180046203339835,3663.154384794931
-0.02480190553296949,0.03307425098827078,3661.887295765255
-0.02547245685130045,0.033968455773202025,3660.6202067355784
-0.02614431258192017,0.034864400039778067,3659.353117705902
-0.02685011828643367,0.03580561784213609,3658.0860286762254
-0.02755592399094693,0.0367468356444938,3656.818939646549
-0.028263099546468648,0.037689880193429906,3655.5518506168723
-0.029004953961724683,0.038679170274158514,3654.2847615871956
-0.029746808376980717,0.03966846035488713,3653.017672557519
-0.03049009935651657,0.04065966614678916,3651.7505835278425
-0.03126878875331278,0.04169807702684462,3650.483494498166
-0.03204747815010899,0.04273648790690007,3649.216405468489
-0.03282767207573815,0.0437769051313541,3647.9493164388127
-0.03364397469335752,0.04486547462137316,3646.6822274091364
-0.03446027731097716,0.04595404411139258,3645.4151383794597
-0.035278153650081266,0.047044712216749995,3644.148049349783
-0.03613283971854087,0.04818446744671949,3642.8809603201066
-0.03698752578700076,0.04932422267668937,3641.61387129043
-0.037843855974601895,0.05046617039985537,3640.346782260753
-0.0387376877369004,0.05165812784878005,3639.0796932310764
-0.03963151949919862,0.05285008529770434,3637.8126042014005
-0.040527066960295996,0.05404433069392479,3636.5455151717238
-0.041460798694660975,0.05528949621949493,3635.278426142047
-0.04239453042902596,0.056534661745065065,3634.0113371123703
-0.043330050600932604,0.0577822122177132,3632.744248082694
-0.04430442864306937,0.05908158108597422,3631.4771590530177
-0.04527880668520614,0.06038094995423524,3630.210070023341
-0.04625504703988704,0.06168280228460047,3628.942980993664
-0.047270809805225994,0.06303735919962063,3627.675891963988
-0.04828657257056529,0.06439191611464125,3626.408802934311
-0.049304272636972506,0.0657490564917138,3625.1417139046343
-0.05036215064291809,0.06715977562525396,3623.874624874958
-0.05142002864886402,0.06857049475879459,3622.6075358452817
-0.05247992003527488,0.06998389880905435,3621.340446815605
-0.05358063592345292,0.07145174383023564,3620.0733577859282
-0.05468135181163059,0.07291958885141644,3618.806268756252
-0.05578415822798434,0.07439022166861967,3617.5391797265756
-0.05692842678648927,0.07591614577359095,3616.272090696899
-0.058072695344994194,0.07744206987856223,3615.005001667222
-0.05921913262522856,0.0789708860535282,3613.737912637546
-0.060407660810872406,0.08055583199513595,3612.470823607869
-0.06159618899651625,0.0821407779367437,3611.2037345781923
-0.06278696512090594,0.08372872158714391,3609.936645548516
-0.06402045208146556,0.08537362170459968,3608.6695565188397
-0.06525393904202562,0.08701852182205602,3607.402467489163
-0.06648975415951693,0.0886665266221982,3606.135378459486
-0.06776889125598323,0.09037230287074878,3604.86828942981
